idd,1,129,193,257,321,385,449,65,type
0,1,1,1,1,1,1,1,1,ws
1,4,4,4,4,4,4,4,4,ws
2,4,4,4,4,4,4,4,4,ws
3,4,4,4,4,4,4,4,4,ws
4,2,2,1,3,3,1,3,3,ws
5,3,3,3,3,3,3,3,3,ws
6,1,1,1,1,1,1,1,1,ws
7,3,3,3,3,3,5,3,3,ws
8,4,4,4,4,4,4,4,4,ws
9,4,4,4,4,4,3,3,4,ws
10,1,1,1,1,1,1,1,1,ws
11,1,1,1,1,1,1,1,1,ws
12,1,1,1,1,1,1,1,1,ws
13,2,2,2,2,2,2,1,2,ws
14,2,2,2,2,2,2,2,2,ws
15,2,2,1,2,2,2,2,1,ws
16,2,2,2,2,2,1,2,2,ws
17,2,2,1,1,1,1,1,2,ws
18,2,2,2,2,3,2,2,2,ws
19,5,5,5,5,5,5,5,5,ws
20,5,5,5,4,5,5,5,5,ws
21,2,2,1,2,1,2,2,2,ws
22,1,1,1,1,1,1,1,1,ws
23,1,1,1,1,1,1,1,1,ws
24,4,4,4,4,4,4,4,4,ws
25,3,3,3,3,1,3,3,3,ws
26,3,3,3,3,3,3,3,3,ws
27,3,3,2,3,3,3,3,3,ws
28,3,3,3,3,3,3,3,3,ws
29,5,5,4,5,4,3,4,4,ws
30,3,3,3,3,3,3,3,3,ws
31,3,3,3,3,3,1,3,3,ws
32,0,0,0,0,0,0,0,0,ws
33,5,5,5,5,5,3,5,0,ws
34,5,5,5,5,5,5,5,5,ws
35,0,0,0,0,0,0,0,0,ws
36,0,0,0,0,0,0,0,0,ws
37,0,0,0,0,0,0,0,0,ws
38,0,0,0,0,0,0,0,0,ws
39,1,1,1,1,1,1,1,1,ws
40,3,3,3,3,3,3,3,3,ws
41,1,1,3,1,1,2,1,3,ws
42,3,3,1,1,1,1,1,3,ws
43,5,5,5,5,5,4,5,4,ws
44,5,5,5,5,5,4,4,5,ws
45,5,5,5,5,5,5,5,5,ws
46,1,1,1,1,1,3,1,1,ws
47,1,1,1,1,1,2,1,1,ws
48,2,2,2,3,2,2,2,2,ws
49,1,1,1,1,1,1,1,1,ws
50,2,2,2,2,2,1,2,2,ws
51,5,5,5,5,4,5,5,5,ws
52,5,5,5,5,5,5,5,5,ws
53,5,5,5,5,5,5,5,5,ws
54,4,4,5,4,4,4,5,5,ws
55,1,1,3,1,2,2,1,1,ws
56,4,4,4,3,4,5,4,4,ws
57,4,4,4,4,4,4,4,4,ws
58,4,4,4,4,3,4,4,4,ws
59,3,3,3,4,4,4,4,3,ws
60,5,5,4,5,5,5,5,5,ws
61,1,1,1,1,1,1,1,1,ws
62,1,1,1,1,1,1,1,1,ws
63,1,1,1,1,1,1,1,1,ws
64,1,1,1,1,1,1,1,1,ws
65,3,3,3,3,3,3,3,3,ws
66,3,3,3,3,3,3,3,3,ws
